run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
94,0.5859098222040584,0.5731979274059387,256,4,2.0,0.0030235558290720435,0.00011233487039141908,0.1846649115420318,32,266
95,0.5773512302465211,0.5550332486382272,64,3,1.5,0.00034117632156538153,1.2132202740185356e-05,0.197901996031135,16,287
96,0.5882055524028897,0.5528735412328023,128,4,1.5,0.009678143715560517,0.0009578395063706376,0.17842240006672835,16,276
97,0.6149766473479144,0.5960802458726081,64,3,1.5,0.007549393369651487,0.00018003950098677358,0.16478433052808378,32,200
98,0.6509851737559171,0.6351000614493595,256,4,1.5,0.0011743012954328789,1.0069020490808443e-05,0.23035289954242555,16,246
99,0.5729070282089052,0.5459383372388387,128,4,2.0,0.0013813609807677314,0.000665184761725014,0.1812911783711545,32,248
100,0.6676199568594632,0.6581796477295215,256,4,1.0,0.000798819809886735,5.787173673831168e-05,0.2631479769322451,16,281
101,0.6491686595688206,0.6331800942641286,128,3,2.0,0.0009701959845371858,0.00027574868331505973,0.10390755795282354,16,163
102,0.6465124114643521,0.6223101810904073,128,2,1.5,0.00015360368488396038,0.0009783896456684875,0.2106942031157122,16,259
103,0.6514412553488513,0.6371527788826323,128,2,1.0,0.0012620615095509458,0.0007766540617712463,0.20437448260692448,16,117
104,0.6361393846655914,0.623601912940621,128,2,2.0,0.004168592931692267,2.8831453116295203e-05,0.2736120083156943,32,129
105,0.6179759215432058,0.5968797580524268,128,4,1.5,0.0005602644830925509,1.5107029775632634e-05,0.10830654028739382,16,262
106,0.6151283502293983,0.5898500737540893,128,3,1.5,0.0015946356866156917,1.2344514346131274e-05,0.2354902648593632,16,120
107,0.5617073987465798,0.5403199976970059,64,3,1.5,0.0005962552091055208,1.1302478549132128e-05,0.13497360941681552,16,138
108,0.6417329398394007,0.6229234498936354,128,4,1.0,0.0008156725682921407,3.4295239393999805e-05,0.15161563400687977,32,287
109,0.5141476584360873,0.4893499782008407,128,3,1.5,0.00010800564939984882,1.3166429110313925e-05,0.22893627346056616,16,232
110,0.6642240385547925,0.6432953440346241,256,4,2.0,0.0002903495477916227,0.0005256299211106274,0.13041782174515176,16,222
111,0.6363289748338534,0.6162117501568719,64,3,1.5,0.0004144309089804546,0.0003788658976951872,0.10769396501031687,32,160
112,0.6333100599313077,0.6104928016790534,64,2,1.5,0.0008420769357463502,5.090165592271367e-05,0.13427319519737455,16,268
